treatment_medication	treatment_medication_code
allegron 10mg tablet	1140867820
amitriptyline hydrochloride+perphenazine 10mg/2mg tablet	1140867948
amitriptyline	1140879616
amitriptyline+chlordiazepoxide 12.5mg/5mg capsule	1140867938
anafranil 10mg capsule	1140867690
cipralex 5mg tablet	1141190158
cipramil 10mg tablet	1141151946
citalopram	1140921600
clomipramine	1140879620
cymbalta 30mg gastro-resistant capsule	1141201834
depixol 3mg tablet	1140867152
dosulepin	1140909806
dothiepin	1140879628
doxepin	1140867640
duloxetine	1141200564
edronax 4mg tablet	1141151982
efexor 37.5mg tablet	1140916288
escitalopram	1141180212
faverin 50mg tablet	1140867860
fluanxol 500micrograms tablet	1140867952
fluoxetine	1140879540
flupenthixol	1140867150
flupentixol	1140909800
fluphenazine hydrochloride+nortriptyline 1.5mg/30mg tablet	1140867940
fluvoxamine	1140879544
imipramine	1140879630
isocarboxazid	1140867856
lofepramine	1140867726
lustral 50mg tablet	1140867884
manerix 150mg tablet	1140867922
maoi - tranylcypromine	1140910820
mianserin	1140879556
mirtazapine	1141152732
moclobemide	1140867920
molipaxin 50mg capsule	1140882244
nardil 15mg tablet	1140867852
nortriptyline	1140867818
oxactin 20mg capsule	1141174756
parnate 10mg tablet	1140867916
paroxetine	1140867888
phenelzine	1140867850
prothiaden 25mg capsule	1140867624
prozac 20mg capsule	1140867876
reboxetine	1141151978
seroxat 20mg tablet	1140882236
sertraline	1140867878
st john's wort/hypericum [ctsu]	1201
sinequan 10mg capsule	1140882312
surmontil 10mg tablet	1140867758
tofranil 10mg tablet	1140867712
tranylcypromine	1140867914
tranylcypromine+trifluoperazine 10mg/1mg tablet	1140867944
trazodone	1140879634
trimipramine	1140867756
triptafen tablet	1140867934
tryptophan product	1140867960
venlafaxine	1140916282
yentreve 20mg gastro-resistant capsule	1141200570
zispin 30mg tablet	1141152736
